Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:13.518,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.528,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.538,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.548,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.558,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.568,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.578,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.588,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.598,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.608,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.618,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.628,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.638,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.648,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.658,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.668,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.678,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.688,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.698,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.708,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.718,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.728,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.738,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.748,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.758,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.768,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.778,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.788,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.798,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.808,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.818,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.828,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.838,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.848,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.858,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.868,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.878,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.888,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.898,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.908,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.918,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.928,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.938,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.948,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.958,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.968,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.978,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.988,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.998,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.008,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.018,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.028,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.038,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.048,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.058,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.068,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.078,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.088,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.098,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.108,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.118,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.128,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.138,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.148,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.158,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.168,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.178,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.188,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.198,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.208,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.218,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.228,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.238,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.248,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.258,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.268,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.278,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
